OBJECTID,Proponent,Branch,Base,Facility,Airspace,Reason,State,POC,FAA_ID,Floor,Ceiling,County,Shape__Area,Shape__Length
467,DOD,USMC,MCAS CAMP PENDLETON,MCAS CAMP PENDLETON,G,NATIONAL SECURITY,CA,Command Duty Officer (760) 763-1154,20170807-DOD-MCAS CAMP PENDLETON-MCAS CAMP PENDLETON,Surface,400' AGL,SAN DIEGO,0.00018100117222275,0.0625279314969096
468,DOD,USMC,MCAS Yuma,MCAS Yuma Main Station 1,D,NATIONAL SECURITY,AZ,Command Duty Officer (928) 269-2252,20170807-DOD-MCAS Yuma-MCAS Yuma Main Station 1,Surface,400' AGL,YUMA,3.31375304085668e-07,0.00237830257673954
469,DOD,USMC,MCAS Yuma,MCAS Yuma Main Station 2,D,NATIONAL SECURITY,AZ,Command Duty Officer (928) 269-2252,20170807-DOD-MCAS Yuma-MCAS Yuma Main Station 2,Surface,400' AGL,YUMA,9.44073690334335e-08,0.00122951607327918
470,DOD,USMC,MCAS Yuma,MCAS Yuma Main Station 3,D,NATIONAL SECURITY,AZ,Command Duty Officer (928) 269-2252,20170807-DOD-MCAS Yuma-MCAS Yuma Main Station 3,Surface,400' AGL,YUMA,2.60884007730056e-07,0.00210171356732719
471,DOD,USMC,MCAS Yuma,MCAS Yuma Main Station 4,D,NATIONAL SECURITY,AZ,Command Duty Officer (928) 269-2252,20170807-DOD-MCAS Yuma-MCAS Yuma Main Station 4,Surface,400' AGL,YUMA,2.69763518190302e-06,0.00662701685939344
472,DOD,USMC,MCAS Yuma,MCAS Yuma Main Station 5,D,NATIONAL SECURITY,AZ,Command Duty Officer (928) 269-2252,20170807-DOD-MCAS Yuma-MCAS Yuma Main Station 5,Surface,400' AGL,YUMA,0.00117378845925487,0.181299344319087
473,DOD,USMC,MCAS Yuma,Cannon Air Defense Complex,G,NATIONAL SECURITY,AZ,Command Duty Officer (928) 269-2252,20170807-DOD-MCAS Yuma-Cannon Air Defense Complex,Surface,400' AGL,YUMA,6.25787658918853e-05,0.0458454497396918
474,DOD,USN,JEB Little Creek-Ft Story,JEB Little Creek East, ,NATIONAL SECURITY,VA,"JEB Little Creek-Ft Story Watch Commander, (757) 438-3629",20170920-DOD-Ft Story-JEB Little Creek East,Surface,400' AGL,VA BEACH,0.000645224062509442,0.128201514966026
475,DOD,USN,NB Guam 1, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 1,Surface,400' AGL,GUAM,2.96524319765012e-06,0.0081137943636785
476,DOD,USN,NB Guam 2, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 2,Surface,400' AGL,GUAM,3.46058493505552e-06,0.00710729110085993
477,DOD,USN,NB Guam 3, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 3,Surface,400' AGL,GUAM,0.00291720010613972,0.260208600527529
478,DOD,USN,NB Guam 4, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 4,Surface,400' AGL,GUAM,2.53098573921307e-06,0.00753835335391678
479,DOD,USN,NB Guam 5, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 5,Surface,400' AGL,GUAM,1.98187652813431e-05,0.0281461499232931
480,DOD,USN,NB Guam 6, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 6,Surface,400' AGL,GUAM,2.35672845292356e-05,0.0283129167019257
481,DOD,USN,NB Guam 7, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 7,Surface,400' AGL,GUAM,4.8427318688482e-07,0.00627983237883639
482,DOD,USN,NB Guam 8, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 8,Surface,400' AGL,GUAM,5.83227403012643e-05,0.0323541671113499
483,DOD,USN,NB Guam 9, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 9,Surface,400' AGL,GUAM,7.78849151856775e-05,0.0371040274986544
484,DOD,USN,NB Guam 10, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 10,Surface,400' AGL,GUAM,0.00114145777729391,0.341259064834409
485,DOD,USN,NB Guam 11, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 11,Surface,400' AGL,GUAM,8.83406869434111e-07,0.00369882140189171
486,DOD,USN,NB Guam 12, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 12,Surface,400' AGL,GUAM,1.8332419813305e-05,0.022681281829218
487,DOD,USN,NB Guam 13, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 13,Surface,400' AGL,GUAM,2.44433510943054e-06,0.00715942085354473
488,DOD,USN,NB Guam 14, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 14,Surface,400' AGL,GUAM,0.000142022766112859,0.0717803410029561
489,DOD,USN,NB Guam 15, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 15,Surface,400' AGL,GUAM,1.64090589578336e-05,0.0261484259351107
490,DOD,USN,NB Guam 16, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 16,Surface,400' AGL,GUAM,3.14891873358647e-05,0.0274491669422579
491,DOD,USN,NB Guam 17, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 17,Surface,400' AGL,GUAM,1.97051861050568e-06,0.00637033518248083
492,DOD,USN,NB Guam 18, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 18,Surface,400' AGL,GUAM,1.05556171092758e-06,0.00408851434781573
493,DOD,USN,NB Guam 19, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 19,Surface,400' AGL,GUAM,1.8710547919909e-06,0.00908069952159609
494,DOD,USN,NB Guam 20, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 20,Surface,400' AGL,GUAM,1.35563764160906e-05,0.0573107127673536
495,DOD,USN,NB Guam 21, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 21,Surface,400' AGL,GUAM,7.88267834650469e-06,0.0158107053720445
496,DOD,USN,NB Guam 22, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 22,Surface,400' AGL,GUAM,1.20530042977407e-05,0.0155093388307149
497,DOD,USN,NB Guam 23, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 23,Surface,400' AGL,GUAM,9.05568867892725e-07,0.00472119585966739
498,DOD,USN,NB Guam 24, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 24,Surface,400' AGL,GUAM,2.3488879605793e-05,0.0217273940641109
499,DOD,USN,NB Guam 25, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 25,Surface,400' AGL,GUAM,6.72769715492905e-07,0.00361488441974367
500,DOD,USN,NB Guam 26, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 26,Surface,400' AGL,GUAM,8.11012341728201e-08,0.00125979382404638
501,DOD,USN,NB Guam 27, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 27,Surface,400' AGL,GUAM,4.06743707799251e-05,0.033038806659429
502,DOD,USN,NB Guam 28, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 28,Surface,400' AGL,GUAM,9.81595371740696e-06,0.0134124308854691
503,DOD,USN,NB Guam 29, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 29,Surface,400' AGL,GUAM,1.55018199166079e-06,0.00501917770747242
504,DOD,USN,NB Guam 30, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 30,Surface,400' AGL,GUAM,0.000246520851192145,0.0730085977933254
505,DOD,USN,NB Guam 31, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 31,Surface,400' AGL,GUAM,1.55195036768419e-05,0.0159129876702247
506,DOD,USN,NB Guam 32, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 32,Surface,400' AGL,GUAM,6.65171637592721e-06,0.0104884159738852
507,DOD,USN,NB Guam 33, , ,NATIONAL SECURITY,GU,Base Operator +1 (671)-564-3030,20170626-DOD-NB Guam 33,Surface,400' AGL,GUAM,0.00601747816529041,0.540839221240929
508,DOD,USAF,Martinsburg Apt,Martinsburg Apt,D,NATIONAL SECURITY,WV,Bob Azeltine  (304) 616-5249  robert.m.azeltine.ctr@mail.mil,20161222-DOD-Martinsburg Apt-Martinsburg Apt,Surface,400' AGL,BERKELEY,0.000131892691797475,0.0645328836932397
509,DOD,USA,Camp Dawson,Dawson AAF,G,NATIONAL SECURITY,WV,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Camp Dawson-Dawson AAF,Surface,400' AGL,PRESTON,0.00016154729541995,0.0651018836322746
510,DOD,USN,NAS Fallon,NAS Fallon,"D, E, G",NATIONAL SECURITY,NV,"Lt Ryan Pipkin, ATC, 775-426-2464, Ryan.b.pipkin@navy.mil (CDO 775-848-5731)-contact CDO after working hours",20161222-DOD-Fallon-NAS Fallon,Surface,400' AGL,CHURCHILL,0.00326026152697523,0.290705435481096
511,DOD,USA,Aberdeen Proving Ground,Phillips AAF,D,NATIONAL SECURITY,MD,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Aberdeen Proving Ground-Phillips AAF,Surface,400' AGL,HARFORD,0.00555366126241097,0.289776661970844
512,DOD,USAF,Rosecrans Memorial Apt,Rosecrans Memorial Apt,D,NATIONAL SECURITY,MO,Letitia Walley  (816) 236-3684  letitia.d.walley@us.af.mil,20161222-DOD-Rosecrans Memorial Apt-Rosecrans Memorial Apt,Surface,400' AGL,BUCHANAN,0.000382291663072465,0.0784123539824991
513,DOD,USA,Fort Indiantown Gap,Muir AAF,D,NATIONAL SECURITY,PA,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",20161222-DOD-Fort Indiantown Gap-Muir AAF,Surface,400' AGL,LEBANON,0.0042483295733291,0.371456110355986
514,DOD,USAF,Selfridge,Selfridge,D,NATIONAL SECURITY,MI,Steven Oliver  (586) 239-5190  steven.w.oliver4.civ@mail.mil,20161222-DOD-Selfridge-Selfridge,Surface,400' AGL,MACOMB,0.00130498534872459,0.167788248545669
515,DOD,USAF,Pease ANGB,Pease ANGB,D,NATIONAL SECURITY,NH,Paul Pillow  (603) 420-3189  paul.j.pillow.civ@mail.mil,20161222-DOD-Pease ANGB-Pease ANGB,Surface,400' AGL,ROCKINGHAM,9.15379557682172e-05,0.0441157692603337
516,DOD,USA,Fort McCoy,Sparta-McCoy AAF,D,NATIONAL SECURITY,WI,"James Hubbard, 608-388-4207   Emergency: Provost Marshall Office, 608-388-2266",20161222-DOD-Fort McCoy-Sparta-McCoy AAF,Surface,400' AGL,MONROE,0.00272976926521551,0.221388875581347
517,DOD,USAF,Volk CRTC,Volk CRTC,D,NATIONAL SECURITY,WI,Dennis Fritz  704-422-2551,20161222-DOD-Volk CRTC-Volk CRTC,Surface,400' AGL,JUNEAU,0.00330587710800501,0.28831723119473
518,DOD,USA,Camp Grayling,Grayling AAF,D,NATIONAL SECURITY,MI,"Toby Miller, 517-481-8912   Emergency: Chris Cook, 989-344-4300",20161222-DOD-Camp Grayling-Grayling AAF,Surface,400' AGL,CRAWFORD,0.000427076770620261,0.0819224285397344
519,DOD,USA,Camp Ripley,Ray S. Miller AAF,D,NATIONAL SECURITY,MN,"Nathan Foster, 320-616-2780   Emergency: Jaclyn Ciffra, 320-616-2781",20161222-DOD-Camp Ripley-Ray S. Miller AAF,Surface,400' AGL,MORRISON,0.00102757123886477,0.144439293320083
520,DOD,USN,NAS Whidbey Island,Coupeville NOLF,G,NATIONAL SECURITY,WA,"PRI: Air Traffic Control Facility Officer, Mon-Fri 0730-1600; (360)-257-1310/2132. SEC: ATC Facility Watch Supervisor 24 hours a day: (360)-257-2887",20161222-DOD-Whidbey Island-Coupeville NOLF,Surface,400' AGL,ISLAND,0.000146986566505802,0.0536515480934923
521,DOD,USA,Fort Greely,Allen AAF,D,NATIONAL SECURITY,AK,LTC Detrice Mosby (907) 873-7380        Alternate POC: Barney Owens 703 806-4865,20161222-DOD-Fort Greely-Allen AAF,Surface,400' AGL,SOUTHEAST FAIRBANKS,0.0351553879600033,0.940788548065399
522,DOD,USA,Fort Wainwright,Ladd AAF,D,NATIONAL SECURITY,AK,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,20161222-DOD-Fort Wainwright-Ladd AAF,Surface,400' AGL,FAIRBANKS NORTH STAR,0.00377343182663026,0.270891316201845
523,DOD,USAF,Klamath Falls,Klamath Falls 1,D,NATIONAL SECURITY,OR,Doug Cunningham  (541) 880-2470  douglas.m.cunningham6.civ@mail.mil,20161222-DOD-Klamath Falls-Klamath Falls 1,Surface,400' AGL,KLAMATH,5.50031136299367e-05,0.0339290367735907
524,DOD,USAF,Klamath Falls,Klamath Falls 2,D,NATIONAL SECURITY,OR,Doug Cunningham  (541) 880-2470  douglas.m.cunningham6.civ@mail.mil,20161222-DOD-Klamath Falls-Klamath Falls 2,Surface,400' AGL,KLAMATH,5.41443610018177e-05,0.0292316434870924
525,DOD,USAF,Klamath Falls,Klamath Falls 3,D,NATIONAL SECURITY,OR,Doug Cunningham  (541) 880-2470  douglas.m.cunningham6.civ@mail.mil,20161222-DOD-Klamath Falls-Klamath Falls 3,Surface,400' AGL,KLAMATH,7.71855093262275e-06,0.0135422989963948
526,DOD,USAF,Klamath Falls,Klamath Falls 4,D,NATIONAL SECURITY,OR,Doug Cunningham  (541) 880-2470  douglas.m.cunningham6.civ@mail.mil,20161222-DOD-Klamath Falls-Klamath Falls 4,Surface,400' AGL,KLAMATH,1.25498654597322e-05,0.0179970213751776
527,DOI,NATIONAL PARK SERVICE,,Boston National Historical Park,B,NATIONAL SECURITY,MA,Steve Connor Physical Security Coordinator Steven_Connor@nps.gov 617-242-5685,20170518-DOI-Boston National Historical Park,Surface,400' AGL,SUFFOLK,1.10478038095607e-05,0.0148014408669682
528,DOI,NATIONAL PARK SERVICE,,Independence Mall,"B, G ",NATIONAL SECURITY,PA,Michelle Schonzeit Acting Chief Ranger Independence National Historical Park Office: (215) 597-7049 Cell: (267) 595-0035,20170518-DOI-Independence Mall,Surface,400' AGL,PHILADELPHIA,1.45399674238433e-05,0.0233684538140566
529,DOI,NATIONAL PARK SERVICE,,Mount Rushmore National Monument,G,NATIONAL SECURITY,SD,Brad Eggers Supervisory Park Ranger Mount Rushmore National Memorial (605) 574-3125 brad_eggers@nps.gov,20170518-DOI-Mount Rushmore National Monument,Surface,400' AGL,PENNINGTON,0.000585086799674173,0.13507987757682
530,DOI,BUREAU OF RECLAMATION,,Shasta Dam,G,NATIONAL SECURITY,CA,Heath Hughes hhughes@usbr.gov 530-276-2036,20170518-DOI-Shasta Dam,Surface,400' AGL,SHASTA,6.11193768236262e-05,0.0433907593174991
531,DOI,NATIONAL PARK SERVICE,,Statue of Liberty,"B, E, G",NATIONAL SECURITY,NJ,"Captain Peter Culver Commander, Liberty District United States Park Police Peter_Culver@nps.gov office:  646-356-2120",20170518-DOI-Statue of Liberty,Surface,400' AGL,HUDSON,2.61486727595184e-05,0.0200288264635196
532,DOI,BUREAU OF RECLAMATION,,Grand Coulee Dam 1,G,NATIONAL SECURITY,WA,"Matthew Tillman mtillman@usbr.gov 509-633-9518

",20170518-DOI-Grand Coulee Dam 1,Surface,400' AGL,"GRANT, DOUGLAS,OKANOGAN",0.000261182598478626,0.0847800469734706
533,DOI,BUREAU OF RECLAMATION,,Grand Coulee Dam 2,G,NATIONAL SECURITY,WA,"Matthew Tillman mtillman@usbr.gov 509-633-9518

",20170518-DOI-Grand Coulee Dam 2,Surface,400' AGL,"GRANT, DOUGLAS,OKANOGAN",2.83571084764844e-05,0.0233541367630958
534,DOE,RL,,Hanford Site,G,NATIONAL SECURITY,WA,"Operations Center 509 376-2900 Corey Low, 509 376-4820, corey.low@rl.doe.gov",20170202-DOE-Hanford,Surface,400' AGL,FRANKLIN,0.00148718853233731,0.165119800425144
535,DOE,INL,,Idaho National Laboratory,G,NATIONAL SECURITY,ID,"Com Center 208 526-1515, Kyle Jorgensen, Kyle.Jorgensen@inl.gov",20170202-DOE-Idaho National Laboratory,Surface,400' AGL,"BINGHAM, JEFFERSON, BUTTE",0.173040652881355,1.76617998554089
536,DOD,USAF,Ellsworth,Installation 1,D,NATIONAL SECURITY,SD,Airspace Mgr: 605-431-6580     Emergency: Command Post: 605-431-1110,20170518-DOD-Ellsworth-Installation 1,Surface,400' AGL,MEADE & PENNINGTON,4.58010417787591e-05,0.0276450148601261
537,DOD,USAF,Ellsworth,Installation 2,D,NATIONAL SECURITY,SD,Airspace Mgr: 605-431-6580     Emergency: Command Post: 605-431-1110,20170518-DOD-Ellsworth-Installation 2,Surface,400' AGL,MEADE & PENNINGTON,1.74380852513423e-05,0.0172992762323017
538,DOD,USAF,Ellsworth,Installation 3,D,NATIONAL SECURITY,SD,Airspace Mgr: 605-431-6580     Emergency: Command Post: 605-431-1110,20170518-DOD-Ellsworth-Installation 3,Surface,400' AGL,MEADE & PENNINGTON,0.00229587766489203,0.261917542582401
539,DOD,USAF,Mt Home,Installation,D,NATIONAL SECURITY,ID,"Airspace Mgr: 208-828-4722 Emergency: Command Post: 208-828-7000, Airspace Mgr: 208-828-4722",20170518-DOD-Mt Home-Installation,Surface,400' AGL,ELMORE,0.00262643018095332,0.216718686459979
540,DOD,USAF,Offutt AFB,Installation 1,C,NATIONAL SECURITY,NE,"Gary J. Kaufman: 402-294-2793,  Airspace Mgr: 402-294-2394     Emergency: Command Post:  402 294-3725",20170518-DOD-Offutt AFB-Installation 1,Surface,400' AGL,SARPY,7.14928078195953e-05,0.0349933657422503
541,DOD,USAF,Offutt AFB,Installation 2,C,NATIONAL SECURITY,NE,"Gary J. Kaufman: 402-294-2793,  Airspace Mgr: 402-294-2394     Emergency: Command Post:  402 294-3725",20170518-DOD-Offutt AFB-Installation 2,Surface,400' AGL,SARPY,0.000701418314520197,0.128451751074644
542,DOD,USAF,Minot,Installation,D,NATIONAL SECURITY,ND,Command Post: 701-723-1110     Emergency: Command Post: 701-723-1110,20170518-DOD-Minot-Installation,Surface,400' AGL,WARD,0.00231162372074323,0.327627385224888
543,DOD,USAF,F.E. Warren AFB,Installation,G,NATIONAL SECURITY,WY,Barry Dishman  (307) 772-6485  barry.dishman@us.af.mil     Emergency: Command Post: 307-773-3921,20170518-DOD-F.E. Warren AFB-Installation,Surface,400' AGL,LARAMIE,0.00246426883586537,0.256098584819582
544,DOD,USAF,Malmstrom AFB,Installation,G,NATIONAL SECURITY,MT,"Maj Michael Endres, AFGSC/A3OA: 318-456-9902     Emergency: Command Post: 406-731-3801",20170518-DOD-Malmstrom AFB-Installation,Surface,400' AGL,CASCADE,0.00151356762125943,0.207364165773215
545,DOD,USAF,Buckley AFB (BKF),Installation 1,D,NATIONAL SECURITY,CO,"Chuck Grube  (720) 847-1533, charles.t.grube.nfg@mail.mil,     Emergency: Chuck Grube: 720-847-1533, 720-847-1541",20170518-DOD-Buckley AFB (BKF)-Installation 1,Surface,400' AGL,ARAPAHOE,0.00132686735469179,0.198321530952901
546,DOD,USAF,Buckley AFB (BKF),Installation 2,D,NATIONAL SECURITY,CO,"Chuck Grube  (720) 847-1533, charles.t.grube.nfg@mail.mil,     Emergency: Chuck Grube: 720-847-1533, 720-847-1541",20170518-DOD-Buckley AFB (BKF)-Installation 2,Surface,400' AGL,ARAPAHOE,9.43370196182514e-07,0.00422451488154093
547,DOD,USAF,Dover (KDOV),Installation 1,D,NATIONAL SECURITY,DE,Capt Denise Pool: (302) 677-3262     Emergency: Command Post: 302-677-4201,20170518-DOD-Dover (KDOV)-Installation 1,Surface,400' AGL,KENT,5.20373714607558e-06,0.0103178143690673
548,DOD,USAF,Dover (KDOV),Installation 2,D,NATIONAL SECURITY,DE,Capt Denise Pool: (302) 677-3262     Emergency: Command Post: 302-677-4201,20170518-DOD-Dover (KDOV)-Installation 2,Surface,400' AGL,KENT,6.81574661030027e-05,0.0348511474004739
549,DOD,USAF,Dover (KDOV),Installation 3,D,NATIONAL SECURITY,DE,Capt Denise Pool: (302) 677-3262     Emergency: Command Post: 302-677-4201,20170518-DOD-Dover (KDOV)-Installation 3,Surface,400' AGL,KENT,9.41276325647777e-05,0.0428528702435696
550,DOD,USAF,Dover (KDOV),Installation 4,D,NATIONAL SECURITY,DE,Capt Denise Pool: (302) 677-3262     Emergency: Command Post: 302-677-4201,20170518-DOD-Dover (KDOV)-Installation 4,Surface,400' AGL,KENT,7.28586310287938e-05,0.0364634803692491
551,DOD,USAF,Dover (KDOV),Installation 5,D,NATIONAL SECURITY,DE,Capt Denise Pool: (302) 677-3262     Emergency: Command Post: 302-677-4201,20170518-DOD-Dover (KDOV)-Installation 5,Surface,400' AGL,KENT,0.000997678707790328,0.169380191137183
552,DOD,USAF,Fairchild (KSKA),Installation,C,NATIONAL SECURITY,WA,Capt Laura Ryan: (509) 247-1441     Emergency: Command Post: 509-247-4050,20170518-DOD-Fairchild (KSKA)-Installation,Surface,400' AGL,SPOKANE,0.00195381018784246,0.259915582151156
553,DOD,USAF,Westover ARB,Installation,D,NATIONAL SECURITY,MA,Steven Man: (413) 557-2710     Emergency: 439 Airlift Wing Command Post: (413) 557-3571,20170518-DOD-Westover ARB-Installation,Surface,400' AGL,HAMPDEN,0.000984847345307571,0.203910550625336
554,DOD,USAF,Grissom,Installation,D,NATIONAL SECURITY,IN,Mike Lang: (765) 688-4320     Emergency: 434 Air Refueling Wing Command Post: (765) 688-2424,20170518-DOD-Grissom-Installation,Surface,400' AGL,MIAMI & CASS,0.000531264052824554,0.179723812399725
555,DOD,USAF,Cape  Cod AFS,Ground Based Multi-mission SSA RADAR,E,NATIONAL SECURITY,MA,Ops Center: 509-968-2291     Emergency: 21 SW Cmd Post: 719-556--4555,20170518-DOD-Cape  Cod AFS-Ground Based Multi-mission SSA RADAR,Surface,400' AGL,BARNSTABLE,3.01458032936353e-05,0.0200201804728851
556,DOD,USAF,Cavalier AFS,Ground Based Multi-mission SSA RADAR,E,NATIONAL SECURITY,ND,Ops Center: 701-993-3204     Emergency: 21 SW Cmd Post: 719-556--4555,20170518-DOD-Cavalier AFS-Ground Based Multi-mission SSA RADAR,Surface,400' AGL,PEMBINA,0.000114617061626632,0.0528554130633365
557,DOD,USAF,Greeley,137 SWS,B,NATIONAL SECURITY,CO,Major Frank Bednar or CMSgt Franklin Vaughn: 970-378-5256 and 970-378-5021     Emergency: Major Frank Bednar or CMSgt Franklin Vaughn:  970-378-5256 and 970-378-5021,20170518-DOD-Greeley-137 SWS,Surface,400' AGL,WELD,0.000413276650306216,0.154698816066095
558,DOD,USAF,Westford,Lincoln Space Surveillance Complex (Westford),E,NATIONAL SECURITY,MA,"Command Post: 781-225-6960, Alt: 781-981-2444     Emergency: Command Post: 781-225-6960, Alt: 781-981-2444","20170518-DOD-Westford, MA-Lincoln Space Surveillance Complex (Westford)",Surface,400' AGL,MIDDLESEX,3.55549589130533e-05,0.0264347218404222
559,DOD,USAF,Waterton,Lockheed Martin GPS Control System, ,NATIONAL SECURITY,CO,Peterson AFB Command Post: 719-554-5979     Emergency: Peterson AFB Command Post: 719-554-5979,"20170518-DOD-Waterton, CO-Lockheed Martin GPS Control System",Surface,400' AGL,JEFFERSON,7.04173544363584e-07,0.00468545489784342
560,DOD,USAF,Eielson AFB,PAEI 1, ,NATIONAL SECURITY,AK,"Airfield Operations Flight Commander: Comm 907-377-3116     Emergency: Command Post: Comm 907-377-1500, DSN 317-377-1500",20170518-DOD-Eielson AFB-PAEI 1,Surface,400' AGL,FAIRBANKS NORTH STAR,0.00273399960951792,0.351889638099556
561,DOD,USAF,Eielson AFB,PAEI 2, ,NATIONAL SECURITY,AK,"Airfield Operations Flight Commander: Comm 907-377-3116     Emergency: Command Post: Comm 907-377-1500, DSN 317-377-1500",20170518-DOD-Eielson AFB-PAEI 2,Surface,400' AGL,FAIRBANKS NORTH STAR,0.0117971700292401,0.881464423763778
562,DOD,USAF,Grand Forks (KRDR),Installation 1,D,NATIONAL SECURITY,ND,Capt Rachel Daniel: (701) 747-3859     Emergency: Command Post: (701) 747-6711,20170518-DOD-Grand Forks (KRDR)-Installation 1,Surface,400' AGL,GRAND FORKS,3.05866924463771e-05,0.0259738583798628
563,DOD,USAF,Grand Forks (KRDR),Installation 2,D,NATIONAL SECURITY,ND,Capt Rachel Daniel: (701) 747-3859     Emergency: Command Post: (701) 747-6711,20170518-DOD-Grand Forks (KRDR)-Installation 2,Surface,400' AGL,GRAND FORKS,0.00218001422035741,0.240851483354619
564,DOD,USA,JB Lewis McChord,Gray AAF 1,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 1,Surface,400' AGL,PIERCE,0.000511055329752708,0.0974731468625619
565,DOD,USA,JB Lewis McChord,Gray AAF 2,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 2,Surface,400' AGL,PIERCE,1.75510649569333e-07,0.00173658047058503
566,DOD,USA,JB Lewis McChord,Gray AAF 3,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 3,Surface,400' AGL,PIERCE,2.27357622861746e-06,0.0425226602913773
567,DOD,USA,JB Lewis McChord,Gray AAF 5,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 5,Surface,400' AGL,PIERCE,4.672595878219e-06,0.0105503366118595
568,DOD,USA,JB Lewis McChord,Gray AAF 6,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 6,Surface,400' AGL,PIERCE,1.79705466507585e-06,0.00950857272626335
569,DOD,USA,JB Lewis McChord,Gray AAF 7,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 7,Surface,400' AGL,PIERCE,0.00596522700152491,0.422801051663998
570,DOD,USA,JB Lewis McChord,Gray AAF 8,D,NATIONAL SECURITY,WA,LTC Bridenback / 425-227-2955  Emergency: 253-967-0015 / 253-982-0015,20170627-DOD-JB Lewis McChordGray AAF 8,Surface,400' AGL,PIERCE,3.64111729140859e-05,0.0271108390732207
