objectid,statefp,countyfp,tractce,blkgrpce,geoid,namelsad,x_crf1,x_crf2,x_crf3,x_cl1,x_cl2,x_highsec,x_medsec,x_datasec,x_areasec,x_usgsdw_s,x_oswcrdw_,x_crf4,x_oswcr_pe,x_usgs_per,x_wq_score,x_wq_per,x_datacov,globalid,Shape__Area,Shape__Length
2120,06,065,049000,1,060650490001,Block Group 1,0,0,0, , ,0,0,2,2,4.13,1,0,42,67,0,0,100,1d34eae3-fc84-419d-82e2-0808bd5dc614,887644.2421875,3683.6649570036
2121,06,065,049100,1,060650491001,Block Group 1,1,0,1.06,CR6, ,2,0,2,2,4.76,9,100,72,69,110.59,39,100,7c121d20-fdd3-4f90-b14f-c59081ad21a1,2118487.6015625,6739.66033825852
2122,06,065,049100,2,060650491002,Block Group 2,1,0,1.15,CR6, ,4,0,4,4,33.51,19,100,80,85,111.52,39,100,82847955-2f12-4606-bbca-25ac0148a876,2858651.86328125,6825.18956953985
2123,06,065,049100,3,060650491003,Block Group 3,1,0,1.2,CR6, ,2,0,2,2,3.53,3,100,57,65,112.05,40,100,2d5b41d2-af72-4c57-a5b0-3a9a0c9e2e8b,1703773.8671875,5733.19512748681
2124,06,061,020715,1,060610207151,Block Group 1,0,0,0, , ,0,0,4,4,0,7,0,68,16,0,0,100,4b73052d-d639-4abb-bc14-22280c80fa18,1192439.43359375,5167.37441773207
2125,06,061,020710,1,060610207101,Block Group 1,0,0,0, , ,0,0,4,4,0.34,9,0,72,48,0,0,100,cc05025a-5a44-48d9-86ea-581dd8cea619,2971667.734375,8268.70583666323
2126,06,073,015000,1,060730150001,Block Group 1,0,0,0,NA,NA,0,0,0,2,0,1,0,47,35,0,0,0,32934bc8-0118-4066-aa98-40d71c4eb12d,1230541.296875,5119.75021868808
2127,06,073,015000,2,060730150002,Block Group 2,0,0,0,NA,NA,0,0,0,2,0,1,0,47,38,0,0,0,4db0995a-0871-401a-8a77-75987ac33f22,2048436.50390625,6377.08533387613
2128,06,073,015000,3,060730150003,Block Group 3,0,0,0,NA,NA,0,0,0,3,0,1,0,47,37,0,0,0,95a0acb6-9d4d-4003-b055-1c767ba6e0c4,549193.37109375,3407.89544581691
2129,06,073,015000,4,060730150004,Block Group 4,0,0,0,NA,NA,0,0,0,4,0,2,0,54,35,0,0,0,633735a3-dece-4878-947a-db8f3ca2f720,580454.6015625,4401.16582900076
2130,06,061,021038,4,060610210384,Block Group 4,1,0,1.67,PCE, ,2,0,2,3,17.55,0,66.67,16,80,77.79,30,66.67,3d9aa54e-eb5e-46f4-b516-a5013fb02722,1660774.46484375,5904.69342394201
2131,06,061,020908,2,060610209082,Block Group 2,1,0,1.67,PCE, ,2,0,2,2,27.2,0,100,16,83,116.68,43,100,3ec4c298-d40d-43b4-b0a4-8861cb56d5cf,1200891.359375,4384.08571080897
2132,06,061,020805,3,060610208053,Block Group 3,0,0,0, , ,0,0,1,1,0.01,0,0,16,39,0,0,100,a6ca06a7-b69a-4da3-a608-b108a421578b,631445.765625,3322.63987711611
2133,06,061,020402,2,060610204022,Block Group 2,0,0,0, , ,0,0,1,3,65.61,17,0,79,89,0,0,33.33,41e80a9a-c102-4f19-8c90-6c303c0d6173,3134452.9921875,8408.23576159987
2134,06,071,009201,2,060710092012,Block Group 2,0,0,0, , ,0,0,13,13,3.67,23,0,81,66,0,0,100,aa621df6-40d8-4b5b-a18a-fa9cd1a75889,22317117.59375,25267.790729981
2135,06,071,009202,1,060710092021,Block Group 1,2,5,2.77,"NO3N; DBCP","PCATE; ALPHA; NO3N; F; DBCP",11,17,82,192,519.86,197,10.16,95,97,48.52,21,42.71,80891c98-0df2-43c5-bf82-d8120f358c0f,510927163.960938,194918.492654052
2136,06,071,001903,1,060710019031,Block Group 1,4,4,2.4,"TCPR123; NO3N; AS; PCATE","TCPR123; NO3N; CR6; PCATE",12,1,14,20,517.12,191,62.5,95,97,389.98,82,70,c66f8844-7789-41f0-afc1-496a6c5db016,38542599.6484375,32367.865082563
2137,06,071,001901,2,060710019012,Block Group 2,3,4,2.51,"TCPR123; NO3N; PCATE","TCPR123; NO3N; CR6; PCATE",2,0,2,2,119.47,21,100,81,91,525.07,89,100,88a2c8ec-5858-41c5-9e18-8780adda8cac,944120.2265625,3882.51080907949
2138,06,111,000902,2,061110009022,Block Group 2,1,0,1.05,AS, ,1,0,10,10,49.64,29,10,83,87,11.05,5,100,df277084-5979-4f0d-80b9-267f53b0f3fb,13318116.5351563,23241.4338963475
2139,06,071,000203,3,060710002033,Block Group 3,0,1,0, ,NO3N,0,1,2,2,1.03,1,25,42,55,12.5,7,100,a9706cfb-d9ee-4fdb-aa13-d64efbe349ed,541779.53515625,3190.94302962054
2140,06,071,000823,3,060710008233,Block Group 3,7,4,2.92,"NO3N; PCATE; DBCP; TCPR123; TCE; AS; THM","NO3N; TCPR123; TCE; THM",2,0,2,2,0,0,100,17,17,929.18,98,100,4952098a-eb99-4e07-860a-dd53bb6ca4d1,1171589.9140625,4351.91798821984
2141,06,073,015100,1,060730151001,Block Group 1,4,1,2.54,"ALPHA; U; PCE; TCE",TCE,1,0,1,2,0,1,50,43,20,237.71,67,50,276fc48f-6def-4782-8b98-84b36ae71924,629346.93359375,3985.4114652414
2142,06,071,000823,2,060710008232,Block Group 2,7,4,2.76,"NO3N; PCATE; DBCP; TCPR123; TCE; AS; THM","NO3N; TCPR123; TCE; THM",3,0,3,3,0,0,100,17,17,927.62,98,100,24c28d36-9b9a-4265-af6e-1a5f5210e8f0,581506.6171875,3355.84045947135
2143,06,071,000821,1,060710008211,Block Group 1,7,5,3.91,"NO3N; TCE; TCPR123; PCATE; DBCP; AS; THM","NO3N; TCE; TCPR123; CR6; THM",5,0,6,6,0,2,83.33,51,17,824.29,96,100,92f3028f-a425-4f51-82ef-87d669d9154a,3661270.22265625,8553.08693593151
2144,06,071,002014,1,060710020141,Block Group 1,2,2,1.19,"NO3N; DBCP","NO3N; DBCP",2,0,5,5,19.3,5,40,64,81,124.78,46,100,5e9961ef-8609-47be-be94-fa4c3976cfe2,3470448.97265625,8481.7545275723
2145,06,071,002011,1,060710020111,Block Group 1,2,2,1.16,"NO3N; DBCP","NO3N; DBCP",4,0,4,4,0,0,100,17,18,311.59,75,100,19a07681-f6f4-45b0-90ae-fb87b0ace550,2992489.61328125,6995.36824076118
2146,06,071,002011,2,060710020112,Block Group 2,2,2,1.15,"NO3N; DBCP","NO3N; DBCP",2,0,3,4,0,1,50,42,18,155.76,51,75,f05926bf-17f8-4656-8d1a-544a5d1c978e,2742318.20703125,6839.99331509269
2147,06,071,002704,2,060710027042,Block Group 2,3,5,5.07,"PCATE; PCE; TCE","PCATE; CTCL; AS; PCE; TCE",5,0,12,13,0.75,10,38.46,73,53,231.04,66,92.31,115a4803-9880-45b1-9623-1d755f705139,21996804.6640625,22701.4341739888
2148,06,071,002038,1,060710020381,Block Group 1,0,0,0, , ,0,0,5,5,0,1,0,42,18,0,0,100,aedbaef0-8788-4445-9328-39adc98502aa,1366053.43359375,6480.02632843435
2149,06,071,002010,1,060710020101,Block Group 1,0,0,0, , ,0,0,4,6,14.85,7,0,69,79,0,0,66.67,39b238ba-a0c3-41c1-9350-59c65e76c27a,4423577.52734375,12111.9006297714
2150,06,071,002107,3,060710021073,Block Group 3,4,2,1.55,"NO3N; DBCP; TCPR123; PCATE","NO3N; PCATE",2,0,2,2,0,0,100,17,18,515.54,89,100,8afa24bf-b57f-4744-90eb-03bbd0e08353,645018.35546875,4840.85845998961
2151,06,111,007904,2,061110079042,Block Group 2,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",2,0,2,2,0,1,100,45,25,362.38,80,100,84e0f60d-d05f-4b5d-9b3a-1a2154ad9268,552993.52734375,3453.61905202188
2152,06,111,008001,1,061110080011,Block Group 1,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",2,0,2,2,7.11,4,100,62,73,362.38,80,100,a587d6d4-f075-470d-8c28-5d1a255c7bd3,840625.4921875,4709.36530292058
2153,06,071,007109,4,060710071094,Block Group 4,0,0,0, , ,0,0,4,4,2.93,28,0,83,64,0,0,100,93f0bbe7-21ed-448a-b692-05cd4bb47bfc,621362.29296875,4375.79776143101
2154,06,071,007303,1,060710073031,Block Group 1,1,2,1.13,ALPHA,"PCATE; NO3N",1,0,2,2,3.82,2,50,51,66,105.67,37,100,f9afd039-7f8d-4213-956f-0a8a0f7ce961,1191256.6328125,4594.21091964463
2155,06,037,408629,2,060374086292,Block Group 2,0,0,0,NA,NA,0,0,0,3,0,0,0,29,30,0,0,0,c67eb067-3ad5-45a1-874c-4a0ed17efdaf,1131279.08203125,5562.56583244279
2156,06,037,408703,1,060374087031,Block Group 1,0,0,0,NA,NA,0,0,0,14,0.69,2,0,54,52,0,0,0,1f85acf1-b5b0-4eda-bcb6-630bde709916,15678979.734375,20912.9437970915
2157,06,037,408704,1,060374087041,Block Group 1,0,0,0,NA,NA,0,0,0,4,0,3,0,58,30,0,0,0,cb1c9d92-1502-40d2-9f6a-169f2b2001f6,1668425.58203125,6158.93427058015
2158,06,073,015405,3,060730154053,Block Group 3,0,2,0, ,"U; NO3N",0,2,4,4,0.76,33,25,84,53,25,14,100,e9964306-3fd7-448c-a7bb-5c5812a530b9,2307208.60546875,7061.35955341903
2159,06,073,015601,1,060730156011,Block Group 1,0,1,0, ,NO3N,0,2,2,2,2.49,10,50,73,62,25,14,100,5ce9a90b-a838-4012-8e02-164143be5cfa,1070394.88671875,4843.92763001927
2160,06,073,015601,2,060730156012,Block Group 2,0,1,0, ,NO3N,0,2,3,3,5.37,14,33.33,77,70,16.67,9,100,8da9782d-5269-4131-a515-8ae49488ea48,936998.20703125,3954.86352999846
2161,06,073,015701,1,060730157011,Block Group 1,0,1,0, ,NO3N,0,1,1,1,2.29,2,50,52,61,25,14,100,574ea844-1dad-4c18-9342-9c9a9e5ceaff,344105.59765625,2380.45460146159
2162,06,071,980100,1,060719801001,Block Group 1,3,3,1.57,"AS; ALPHA; U","U; PCATE; NO3N",6,1,10,10,23.12,71,65,90,82,302.68,74,100,1d214ef8-c82b-411e-9fff-354e3c6e093f,11737932.671875,17619.3947415685
2163,06,071,008002,6,060710080026,Block Group 6,2,1,3.19,"PCATE; ALPHA",PCATE,4,1,5,5,15.46,2,90,51,79,253.73,68,100,f0398407-2dc4-4436-bb89-39e6a665edce,2673698.375,9443.50891455842
2164,06,071,007800,2,060710078002,Block Group 2,2,1,1.31,"PCATE; ALPHA",NO3N,5,0,6,6,20.3,6,83.33,67,81,219.21,65,100,a7589b6d-9035-446f-a1c9-6c61a1acdc7a,4545756.2890625,9855.50667844719
2165,06,073,015703,2,060730157032,Block Group 2,5,2,2.21,"ALPHA; U; PCE; NO3N; TCE","TCE; NO3N",2,2,4,4,0.7,6,75,67,52,466.61,86,100,504f20e4-8770-449e-b48c-acd1a479f6b2,385589.6796875,2724.58768527976
2166,06,073,015801,1,060730158011,Block Group 1,5,2,2.43,"ALPHA; U; PCE; NO3N; TCE","TCE; NO3N",2,0,2,2,0.67,0,100,19,52,624.33,93,100,9a2d9e4b-d68e-4430-9ff3-6f4adeeed8ef,610520.5390625,3844.27144683423
2167,06,073,015802,1,060730158021,Block Group 1,5,2,2.43,"ALPHA; U; PCE; NO3N; TCE","TCE; NO3N",2,0,2,2,0,0,100,19,20,624.33,93,100,fd5a6ec4-9a9d-4c83-8185-1c0de344bfb8,283236.609375,2514.48452821468
2168,06,073,016809,1,060730168091,Block Group 1,2,0,1.29,"NO3N; PCATE", ,1,0,2,4,5.4,22,25,81,70,53.23,22,50,821efd42-e6e3-4879-ba38-b44798bc170c,1160647.703125,6601.08973845106
2169,06,073,016809,2,060730168092,Block Group 2,0,0,0, , ,0,0,2,4,11.67,17,0,79,77,0,0,50,d904c167-9b3a-41bf-a307-27257daff2da,5416946.34375,12781.4823322234
2170,06,059,021816,3,060590218163,Block Group 3,1,0,1.07,NO3N, ,2,0,4,4,0,4,50,60,13,55.35,23,100,97e2f695-c0cc-4e65-a6d6-10899cd177c4,1209949.30078125,7526.17450133215
2171,06,073,016810,1,060730168101,Block Group 1,5,2,1.56,"ALPHA; NO3N; MTBE; U; PCATE","ALPHA; PCE",3,0,4,4,14.9,16,75,78,79,461.73,86,100,72fb4562-bc2c-463b-bad3-81178445a307,3275628.38671875,7630.25735639728
2172,06,073,016811,2,060730168112,Block Group 2,0,0,0, , ,0,0,2,2,4.91,12,0,75,69,0,0,100,3eb9f333-8a06-4d0a-a7bc-8d3ee9064bcb,1129904.046875,4796.34126987033
2173,06,073,017006,1,060730170061,Block Group 1,0,0,0,NA,NA,0,0,0,3,1.54,5,0,65,58,0,0,0,9c6d7a86-a22d-4b34-88d9-1932f55502dd,1393756.27734375,6490.64799623676
2174,06,073,017006,2,060730170062,Block Group 2,0,0,0,NA,NA,0,0,0,4,3.14,8,0,71,64,0,0,0,7e650bfc-7f20-4567-bff5-6c5f546dd774,2275487.0234375,6611.45164509485
2175,06,085,503402,3,060855034023,Block Group 3,0,0,0,NA,NA,0,0,0,1,0,1,0,47,37,0,0,0,a3bff16d-4ab4-4507-bbc0-3ec6422a17e3,759394.62890625,5053.04392085497
2176,06,085,503111,2,060855031112,Block Group 2,0,0,0, , ,0,0,1,2,0,1,0,44,23,0,0,50,f8e2958d-1d0f-43fc-aa78-699cbed414e2,421635.87890625,2566.06410268161
2177,06,085,504315,4,060855043154,Block Group 4,0,0,0, , ,0,0,2,2,10.45,5,0,65,76,0,0,100,acc05fd4-34fe-44a3-bb56-01b2d76c8587,670763.30859375,5057.05370828339
2178,06,085,502400,5,060855024005,Block Group 5,0,0,0, , ,0,0,2,2,6.26,1,0,44,71,0,0,100,99160262-e7a6-4163-9ec4-42d9d672f51b,922731.1796875,4178.10832649134
2179,06,085,502201,1,060855022011,Block Group 1,0,0,0, , ,0,0,3,3,0,2,0,52,22,0,0,100,e9576085-0af7-4b5d-a409-04109ec6afc1,1019549.9921875,4650.96862168466
2180,06,085,503402,2,060855034022,Block Group 2,0,0,0,NA,NA,0,0,0,1,0,1,0,47,37,0,0,0,fc9ab706-b4a9-47f2-88b5-5354452e1e60,394821.70703125,3018.78896584196
2181,06,085,511302,2,060855113022,Block Group 2,0,0,0, , ,0,0,2,2,0,1,0,45,24,0,0,100,2d1b7fc3-aca8-4b42-8966-0a67ff72ad84,463784.0625,3342.1883853812
2182,06,059,062649,1,060590626491,Block Group 1,0,0,0,NA,NA,0,0,0,4,0,0,0,31,32,0,0,0,2a891c17-5861-4cdb-a125-98b52d6bc83e,875145.62109375,4015.30660348365
2183,06,085,511608,2,060855116082,Block Group 2,0,0,0, , ,0,0,1,2,0,0,0,22,24,0,0,50,dbea62c0-5201-46db-9ec4-4e4b96c40e7e,974395.9609375,4419.33149286614
2184,06,085,504318,3,060855043183,Block Group 3,0,0,0, , ,0,0,2,2,20.97,15,0,78,82,0,0,100,fe730b2c-242d-47c4-8e49-3e465a40f76d,543164.5,3363.34143770058
2185,06,085,512311,1,060855123111,Block Group 1,1,1,1.12,NO3N,NO3N,1,0,8,8,180.72,106,12.5,92,93,20.15,10,100,bf9caf01-9e52-4c06-b93e-e4ffc4a9630e,8763172.32421875,13218.8305160721
2186,06,085,512307,1,060855123071,Block Group 1,1,1,1.34,NO3N,NO3N,3,0,3,3,61.1,97,100,92,88,163.38,56,100,5ec7277d-cb2b-4d3d-aaca-ea10b6a47416,1702527.16015625,7225.19595685092
2187,06,085,509801,4,060855098014,Block Group 4,0,1,0, ,NO3N,0,1,2,2,0,0,25,22,24,12.5,8,100,f1a6b03c-bbfb-403b-9931-4dae1581982e,913438.3203125,4814.5797830339
2188,06,085,510100,1,060855101001,Block Group 1,0,1,0, ,NO3N,0,3,3,3,0,2,50,53,24,25,14,100,3877b72c-aff4-4451-a960-01e63adc86a5,1460974.0234375,5449.14805254139
2189,06,085,511702,1,060855117021,Block Group 1,0,1,0, ,NO3N,0,2,4,5,19.82,3,20,58,81,10,5,80,7f4c0b01-fbe9-4cba-9f7f-a7f6f4b18e1d,3458922.65625,9223.8829704053
2190,06,085,510200,3,060855102003,Block Group 3,0,1,0, ,NO3N,0,1,4,4,4.95,5,12.5,65,69,6.25,3,100,033ed8c8-9b12-475f-8499-afd3a91052c9,1842495.76171875,8524.99476672664
2191,06,099,003002,3,060990030023,Block Group 3,3,3,2.39,"TCPR123; AS; NO3N","TCPR123; AS; NO3N",4,0,4,4,107.57,72,100,90,91,473.88,87,100,7723e158-ad35-4a5a-9763-9aec733a0aee,1856122.07421875,8949.44081321085
2192,06,099,002801,1,060990028011,Block Group 1,2,2,1.71,"NO3N; TCPR123","TCPR123; NO3N",3,0,6,6,16.27,60,50,89,80,158.56,52,100,479c2acc-11fe-4f6a-9e09-1c5655465311,3214545.03515625,9861.57457124813
2193,06,099,003201,4,060990032014,Block Group 4,2,2,2.35,"CR6; NO3N","CR6; NO3N",2,0,2,2,19.33,24,100,82,81,323.49,77,100,b788121e-85a7-48ae-972d-0623a12fd6e0,613534.71484375,5296.14197750542
2194,06,099,003605,1,060990036051,Block Group 1,2,2,1.93,"NO3N; TCPR123","TCPR123; NO3N",2,0,3,3,31.19,66,66.67,89,84,212.89,63,100,9d7fb24f-64cd-498b-a24b-f80dae2834d4,2102515.9765625,6147.59869177016
2195,06,099,003804,3,060990038043,Block Group 3,1,2,5.93,TCPR123,"AS; NO3N",2,1,3,3,25.55,26,83.33,83,83,216.08,64,100,40924736-3fe4-4f9b-8cfa-8da8e751c888,1508345.18359375,5134.82090722721
2196,06,099,002005,2,060990020052,Block Group 2,3,3,1.52,"DBCP; TCPR123; ALPHA","DBCP; TCPR123; NO3N",4,0,4,4,13.41,15,100,78,78,465.25,86,100,7deb7ac2-7e43-46ba-940a-e0a81318f57c,766360.44140625,4009.43052814811
2197,06,099,000304,3,060990003043,Block Group 3,2,1,8.12,"TCPR123; NO3N",NO3N,1,0,2,2,32.3,68,50,89,84,165.61,56,100,16901bac-8369-4c09-95f4-da9432c6ab26,912256.6171875,3826.6698222361
2198,06,099,002504,2,060990025042,Block Group 2,6,6,2.16,"ALPHA; U; TCPR123; NO3N; AS; PCE","ALPHA; U; AS; NO3N; TCPR123; PCE",4,0,4,4,138.88,36,100,85,92,921.59,98,100,77e41bca-6c4e-4eef-9d91-f57e14a160e5,2793990.3984375,8446.85581409181
2199,06,111,005908,2,061110059082,Block Group 2,0,0,0, , ,0,0,4,4,22.68,44,0,86,82,0,0,100,8b7e994e-cf42-4379-969e-d56be1d804ae,1171947.36328125,4431.10803397434
2200,06,111,007402,3,061110074023,Block Group 3,0,0,0,NA,NA,0,0,0,5,0.11,2,0,54,44,0,0,0,dd0315b6-ccd8-4d48-a0a1-86323cbd14e8,6717401.578125,12359.2463258779
2201,06,111,001503,1,061110015031,Block Group 1,0,1,0, ,SE,0,1,4,4,0,0,12.5,22,24,6.25,4,100,619521e6-5f37-40b2-940b-9a83f35b9adc,2163145.6875,6927.65884282788
2202,06,111,008004,2,061110080042,Block Group 2,2,3,1.24,"NO3N; SE","NO3N; SE; PCATE",1,0,1,1,0.01,3,100,58,40,362.38,80,100,c6589217-9eef-45b0-8765-445323a93b3f,483310.6640625,2926.09351231185
2203,06,111,004101,1,061110041011,Block Group 1,0,0,0, , ,0,0,1,1,9.93,4,0,62,76,0,0,100,25c9b176-48c1-4ceb-b874-7ae2f4a7d2ff,550208.8671875,3249.48254971605
2204,06,111,001102,2,061110011022,Block Group 2,1,1,1.09,NO3N,NO3N,1,2,4,4,22.97,8,50,71,82,80.44,31,100,2faae26d-dcf6-4be0-a657-548dccefab80,3030186.9140625,10529.3367529549
2205,06,111,006400,1,061110064001,Block Group 1,1,0,1.02,TCPR123, ,3,0,4,6,0.02,5,50,65,40,55.08,22,66.67,39f695c8-f683-475a-9e23-ade9f170674e,6872976.4921875,13445.7872282006
2206,06,111,001002,2,061110010022,Block Group 2,1,1,1.09,NO3N,NO3N,2,0,6,6,33.51,22,33.33,81,85,53.63,22,100,f8e19b84-c356-4f28-8212-941c8bdff181,4305490.48828125,14162.6144848878
2207,06,111,000200,1,061110002001,Block Group 1,0,0,0, , ,0,0,19,82,755.09,47,0,87,98,0,0,23.17,4d93ddf8-24a7-4959-a6bb-7589bfd28e20,217312949.246094,93010.6322735294
2208,06,111,001001,1,061110010011,Block Group 1,1,1,1.09,NO3N,NO3N,4,5,21,36,119.9,67,18.06,89,91,29.05,16,58.33,fd4c0f3e-f9c4-4772-a991-4bcebf2e410d,65093453.2617188,62549.8314166867
2209,06,111,002000,3,061110020003,Block Group 3,0,0,0,NA,NA,0,0,0,4,0,0,0,36,37,0,0,0,a92fbf7a-cb0f-4c96-8037-31c778f25071,3154953.71875,8463.11084860237
2210,06,111,001700,1,061110017001,Block Group 1,0,0,0, , ,0,0,5,11,0,1,0,45,25,0,0,45.45,8c19a43e-ed1b-43da-85da-9279eeb416aa,16918089.9609375,20658.4286695559
2211,06,001,401500,1,060014015001,Block Group 1,0,0,0,NA,NA,0,0,0,2,0,0,0,23,25,0,0,0,cdfe0339-fd67-444b-ba78-3b489a47ed70,262503.19921875,2153.77524838474
2212,06,099,003100,1,060990031001,Block Group 1,6,4,2.04,"ALPHA; NO3N; U; AS; CR6; TCPR123","NO3N; AS; ALPHA; CR6",26,2,44,44,659.26,235,61.36,96,98,503.4,88,100,5db3eb85-10e0-4713-9e21-2a4efb0466c1,110223020.683594,72228.7300545619
2213,06,099,001500,4,060990015004,Block Group 4,5,8,1.72,"NO3N; ALPHA; AS; U; TCPR123","NO3N; ALPHA; CR6; TCPR123; AS; U; THM; TCLME",9,2,12,12,742.9,182,83.33,95,98,764.35,95,100,d4847e61-e4e5-47bd-a6b4-868028b8a491,13330035.5625,20291.0860599803
2214,06,099,003603,4,060990036034,Block Group 4,5,4,2.64,"TCPR123; NO3N; U; ALPHA; AS","NO3N; AS; TCPR123; NO2",25,0,25,25,1397.9,290,100,97,100,726.41,95,100,af8981aa-b09a-48d4-b067-42d50106eb2e,66794030.4765625,32710.9256146602
2215,06,099,003605,2,060990036052,Block Group 2,3,3,3.94,"TCPR123; AS; NO3N","AS; TCPR123; NO3N",3,2,6,6,29.38,63,66.67,89,84,326.25,77,100,7b264824-8a76-4264-87f9-f21edb9a45d3,2660460.40234375,10821.624499602
2216,06,111,002800,3,061110028003,Block Group 3,0,0,0,NA,NA,0,0,0,2,1.47,0,0,36,58,0,0,0,2af46342-01e0-4bbc-aa5f-97fcfdb20c98,503483.140625,3152.7400619645
2217,06,111,005202,1,061110052021,Block Group 1,0,1,0, ,NO3N,0,1,12,13,4.25,8,3.85,71,67,1.92,1,92.31,a70adff6-cd6c-4672-b417-713d3da11bfa,12056010.8710938,23481.6629468747
2218,06,001,401400,1,060014014001,Block Group 1,0,0,0,NA,NA,0,0,0,2,0.11,0,0,23,44,0,0,0,65e88686-be1b-414a-a6d3-0c9ea5a75d2c,381844.1171875,3718.35338011083
2219,06,001,401400,2,060014014002,Block Group 2,0,0,0,NA,NA,0,0,0,2,0.37,0,0,23,49,0,0,0,cb170a76-ad79-4dd1-a0bf-0f922f05f32f,439311.86328125,2795.87410839093
2220,06,001,401400,3,060014014003,Block Group 3,0,0,0,NA,NA,0,0,0,1,3.03,0,0,23,64,0,0,0,c925b5ac-6490-4691-ad7d-400fcabc35ec,395964.08984375,2921.20184654038
2221,06,001,401600,2,060014016002,Block Group 2,0,0,0,NA,NA,0,0,0,2,0.21,0,0,23,46,0,0,0,3f22f6c9-12e9-427b-95e7-5854e9d45e25,420343.453125,4134.19989919374
2222,06,067,009308,2,060670093082,Block Group 2,1,1,1.42,AS,CR6,2,2,4,4,17.73,33,75,84,80,123.18,45,100,f8dba51c-0bcb-4337-b22d-b43fed5b1a46,2117327.1953125,7979.7824330288
2223,06,067,009308,3,060670093083,Block Group 3,1,1,1.42,AS,CR6,2,1,3,3,6.92,27,83.33,83,72,136.87,49,100,dd31ab15-d938-4d14-a75e-e3e9d63a21f1,1506174.375,6904.39496879695
2224,06,067,009309,1,060670093091,Block Group 1,1,1,1.31,AS,CR6,3,1,4,4,10.91,19,87.5,80,76,142.68,50,100,e562f830-0d7d-4502-a012-d836739ebb8e,1724131.12109375,5512.21941243141
2225,06,067,009309,2,060670093092,Block Group 2,1,0,1.12,AS, ,2,0,4,4,25.32,11,50,74,83,55.6,23,100,f6e57a05-b877-4bfa-a076-3f09aac42645,1694841.45703125,6274.80936003501
2226,06,001,401500,2,060014015002,Block Group 2,0,0,0,NA,NA,0,0,0,4,0,0,0,23,25,0,0,0,e0eef122-da11-435c-9e7b-c4f36338dc1a,215913.60546875,2254.64491423934
2227,06,001,401500,3,060014015003,Block Group 3,0,0,0,NA,NA,0,0,0,3,0.01,0,0,23,39,0,0,0,48040478-4a66-4f8f-b089-45c38175dcc7,272480.15625,2693.64682863336
2228,06,001,401600,1,060014016001,Block Group 1,0,0,0,NA,NA,0,0,0,2,0.19,0,0,23,46,0,0,0,9ace442c-11e8-4523-89fc-24455f7b7dcf,600733.9609375,3541.39452692566
2229,06,001,409800,1,060014098001,Block Group 1,0,0,0,NA,NA,0,0,0,4,0,1,0,45,38,0,0,0,0479fb16-bb1e-47f0-b7c7-3ec5538d26f3,1210429.14453125,8101.29850729994
2230,06,067,009310,1,060670093101,Block Group 1,1,1,1.11,AS,CR6,1,1,2,2,5.32,14,75,77,70,120.82,44,100,427ed843-c9d5-4c4b-b52c-09c8229f2ae7,1005419.875,4131.79918004115
2231,06,067,009310,2,060670093102,Block Group 2,1,0,1.11,AS, ,1,0,1,1,6.62,3,100,57,72,111.09,39,100,a5a91f61-5db3-42a1-86ca-c0b422de824f,944810.87890625,5879.51807398729
2232,06,067,009310,3,060670093103,Block Group 3,1,0,1.11,AS, ,1,0,2,3,7.2,5,33.33,64,73,37.03,18,66.67,5f1b7527-1292-42d1-9c26-a71c6c61f019,2155353.36328125,10056.5724426982
2233,06,067,009311,1,060670093111,Block Group 1,0,0,0, , ,0,0,7,7,701.47,144,0,94,98,0,0,100,9b0b6953-98cc-48af-809c-16f4d65223b8,8532528.0546875,14707.0280031309
2234,06,001,451503,3,060014515033,Block Group 3,1,1,1.01,NO3N,NO3N,1,0,1,1,0.98,3,100,55,54,160.13,53,100,1b80fdd3-83b3-4161-a752-d078b7e6a00f,363356.84765625,2688.97686243224
2235,06,001,400100,1,060014001001,Block Group 1,0,0,0,NA,NA,0,0,0,10,101.86,5,0,65,91,0,0,0,bee441a0-549e-4016-a72f-b304bd523e89,11081215.7851563,18116.6026097699
2236,06,001,404600,2,060014046002,Block Group 2,1,0,1.85,BRO3, ,1,0,2,2,0,0,50,1,38,59.24,26,100,095cbb79-5806-419d-b0aa-1ce06b2438e5,580315.9609375,5119.01532986241
2237,06,001,434000,3,060014340003,Block Group 3,0,0,0, , ,0,0,4,4,0,4,0,59,1,0,0,100,5ecffd2a-0aeb-489b-9a8a-8b2a7bfe59e3,567198.609375,3385.97271613985
2238,06,001,441923,3,060014419233,Block Group 3,0,0,0, , ,0,0,3,3,0.03,1,0,37,41,0,0,100,986310ff-41cf-4a1f-84cf-dbb15ddc99f7,412831.3125,2631.61656051847
2239,06,001,436401,5,060014364015,Block Group 5,0,0,0,NA,NA,0,0,0,3,0,3,0,58,26,0,0,0,4fa6ba79-2be7-43bf-9a36-aed58b763089,576453.52734375,4497.39243917186
2240,06,001,438201,3,060014382013,Block Group 3,0,0,0, , ,0,0,1,1,26.13,9,0,71,83,0,0,100,054085de-197e-4b21-ab25-0833de0e7dba,531614.296875,3058.45594986287
2241,06,001,404400,2,060014044002,Block Group 2,0,0,0,NA,NA,0,0,0,2,1.19,13,0,76,56,0,0,0,158885d3-3d78-480f-8b10-f904358e6791,898836.44140625,6805.69500044199
